OMIM_ICD_ID	ICD_Codes	ICD_Strings	OMIM_IDs	HPO_Anno
OMIM_ICD:10	frozenset({'E7523'})	{'Krabbe disease'}	{'OMIM:611722', 'OMIM:245200'}	{'HP:0011096', 'HP:0002333', 'HP:0002093', 'HP:0001973', 'HP:0001265', 'HP:0003819', 'HP:0002506', 'HP:0001508', 'HP:0001252', 'HP:0002353', 'HP:0000762', 'HP:0002180', 'HP:0007266', 'HP:0001250', 'HP:0002013', 'HP:0025013', 'HP:0001276', 'HP:0002922', 'HP:0000365', 'HP:0000648', 'HP:0007141', 'HP:0002376', 'HP:0007928', 'HP:0000618', 'HP:0002878', 'HP:0007305', 'HP:0002191', 'HP:0006801', 'HP:0002283', 'HP:0000238', 'HP:0002871', 'HP:0003593', 'HP:0001954', 'HP:0000007', 'HP:0000639'}
OMIM_ICD:11	frozenset({'E75240', 'E75248', 'E75249', 'E75241', 'E75242', 'E75243'})	{'Niemann-Pick disease type B', 'Niemann-Pick disease, unspecified', 'Niemann-Pick disease type A', 'Other Niemann-Pick disease', 'Niemann-Pick disease type C', 'Niemann-Pick disease type D'}	{'OMIM:257220', 'OMIM:257200', 'OMIM:607616', 'OMIM:607625'}	{'HP:0001538', 'HP:0003674', 'HP:0002019', 'HP:0002371', 'HP:0001982', 'HP:0002716', 'HP:0001257', 'HP:0002015', 'HP:0003233', 'HP:0003141', 'HP:0000511', 'HP:0001290', 'HP:0002529', 'HP:0000939', 'HP:0001252', 'HP:0002013', 'HP:0001103', 'HP:0001791', 'HP:0001260', 'HP:0002207', 'HP:0004322', 'HP:0000733', 'HP:0003609', 'HP:0010729', 'HP:0002878', 'HP:0000709', 'HP:0030223', 'HP:0003621', 'HP:0000991', 'HP:0001251', 'HP:0002063', 'HP:0003349', 'HP:0001324', 'HP:0001263', 'HP:0001425', 'HP:0002093', 'HP:0006579', 'HP:0001265', 'HP:0001508', 'HP:0001744', 'HP:0002240', 'HP:0025356', 'HP:0001250', 'HP:0004333', 'HP:0006583', 'HP:0001332', 'HP:0002305', 'HP:0008872', 'HP:0003107', 'HP:0001249', 'HP:0003640', 'HP:0002094', 'HP:0000726', 'HP:0001935', 'HP:0002155', 'HP:0002524', 'HP:0002205', 'HP:0003593', 'HP:0002185', 'HP:0000007'}
OMIM_ICD:12	frozenset({'E7525'})	{'Metachromatic leukodystrophy'}	{'OMIM:249900', 'OMIM:156310', 'OMIM:250100'}	{'HP:0001324', 'HP:0011096', 'HP:0002270', 'HP:0001263', 'HP:0001283', 'HP:0001285', 'HP:0002371', 'HP:0003487', 'HP:0001271', 'HP:0003445', 'HP:0001265', 'HP:0002015', 'HP:0003581', 'HP:0002510', 'HP:0006926', 'HP:0001290', 'HP:0007133', 'HP:0001252', 'HP:0000762', 'HP:0002615', 'HP:0000006', 'HP:0001250', 'HP:0002500', 'HP:0000712', 'HP:0000738', 'HP:0001268', 'HP:0001332', 'HP:0003828', 'HP:0002922', 'HP:0005609', 'HP:0001260', 'HP:0001288', 'HP:0002072', 'HP:0000648', 'HP:0000012', 'HP:0002445', 'HP:0001082', 'HP:0002376', 'HP:0002518', 'HP:0001249', 'HP:0007305', 'HP:0000746', 'HP:0002066', 'HP:0001347', 'HP:0001251', 'HP:0000020', 'HP:0000007'}
OMIM_ICD:13	frozenset({'E754'})	{'Neuronal ceroid lipofuscinosis'}	{'OMIM:614706', 'OMIM:601780', 'OMIM:610127', 'OMIM:600143', 'OMIM:204300', 'OMIM:609055', 'OMIM:204500', 'OMIM:256731', 'OMIM:610003', 'OMIM:256730', 'OMIM:204200', 'OMIM:610951', 'OMIM:615362', 'OMIM:162350'}	{'HP:0003674', 'HP:0000550', 'HP:0002333', 'HP:0000750', 'HP:0000253', 'HP:0002371', 'HP:0003487', 'HP:0005157', 'HP:0001257', 'HP:0003226', 'HP:0001105', 'HP:0003581', 'HP:0002506', 'HP:0001939', 'HP:0000505', 'HP:0001290', 'HP:0002529', 'HP:0001252', 'HP:0002353', 'HP:0000501', 'HP:0000006', 'HP:0000738', 'HP:0000488', 'HP:0010864', 'HP:0001311', 'HP:0001337', 'HP:0001260', 'HP:0000340', 'HP:0003577', 'HP:0001336', 'HP:0002376', 'HP:0006887', 'HP:0002878', 'HP:0001317', 'HP:0003463', 'HP:0000709', 'HP:0003621', 'HP:0002312', 'HP:0001251', 'HP:0002063', 'HP:0001347', 'HP:0002104', 'HP:0002168', 'HP:0003678', 'HP:0003205', 'HP:0002133', 'HP:0002059', 'HP:0001263', 'HP:0000737', 'HP:0002360', 'HP:0002075', 'HP:0000556', 'HP:0002074', 'HP:0000431', 'HP:0001371', 'HP:0002093', 'HP:0001272', 'HP:0003657', 'HP:0003819', 'HP:0001922', 'HP:0002505', 'HP:0002352', 'HP:0000529', 'HP:0000572', 'HP:0002069', 'HP:0003676', 'HP:0002123', 'HP:0002300', 'HP:0002180', 'HP:0001250', 'HP:0000716', 'HP:0000712', 'HP:0000252', 'HP:0000654', 'HP:0001268', 'HP:0000518', 'HP:0000510', 'HP:0000608', 'HP:0000711', 'HP:0005458', 'HP:0002361', 'HP:0000739', 'HP:0002476', 'HP:0005484', 'HP:0000648', 'HP:0000580', 'HP:0001249', 'HP:0003390', 'HP:0000618', 'HP:0000369', 'HP:0008765', 'HP:0001310', 'HP:0002071', 'HP:0000726', 'HP:0002384', 'HP:0002367', 'HP:0001300', 'HP:0000007', 'HP:0003208', 'HP:0000639', 'HP:0000546', 'HP:0003677'}
OMIM_ICD:14	frozenset({'D71'})	{'Functional disorders of polymorphonuclear neutrophils'}	{'OMIM:138990', 'OMIM:233690', 'OMIM:233710', 'OMIM:306400', 'OMIM:233700', 'OMIM:233670', 'OMIM:613960'}	{'HP:0005224', 'HP:0002840', 'HP:0002716', 'HP:0011108', 'HP:0000976', 'HP:0002721', 'HP:0003206', 'HP:0002955', 'HP:0002583', 'HP:0002724', 'HP:0001744', 'HP:0002240', 'HP:0002842', 'HP:0000006', 'HP:0002754', 'HP:0007417', 'HP:0001419', 'HP:0003203', 'HP:0005512', 'HP:0002742', 'HP:0100658', 'HP:0005406', 'HP:0002726', 'HP:0011107', 'HP:0007499', 'HP:0003621', 'HP:0011127', 'HP:0006532', 'HP:0002741', 'HP:0002723', 'HP:0002740', 'HP:0002014', 'HP:0003514', 'HP:0000007', 'HP:0100523'}
OMIM_ICD:15	frozenset({'D841'})	{'Defects in the complement system'}	{'OMIM:217000', 'OMIM:610102', 'OMIM:614380', 'OMIM:613825', 'OMIM:612446', 'OMIM:613789', 'OMIM:613790', 'OMIM:614379'}	{'HP:0000099', 'HP:0005430', 'HP:0000979', 'HP:0002633', 'HP:0004434', 'HP:0002725', 'HP:0005381', 'HP:0045044', 'HP:0000007', 'HP:0200120', 'HP:0001287', 'HP:0004431', 'HP:0012308', 'HP:0000992'}
OMIM_ICD:16	frozenset({'E310'})	{'Autoimmune polyglandular failure'}	{'OMIM:304790'}	{'HP:0000964', 'HP:0002958', 'HP:0001890', 'HP:0100651', 'HP:0000821', 'HP:0002014', 'HP:0001419', 'HP:0002716', 'HP:0001873', 'HP:0001880', 'HP:0011473', 'HP:0000819', 'HP:0003828', 'HP:0002595'}
OMIM_ICD:17	frozenset({'E791'})	{'Lesch-Nyhan syndrome'}	{'OMIM:300322'}	{'HP:0001260', 'HP:0004322', 'HP:0001854', 'HP:0003149', 'HP:0001249', 'HP:0001257', 'HP:0002015', 'HP:0100716', 'HP:0001889', 'HP:0002149', 'HP:0002071', 'HP:0002179', 'HP:0001290', 'HP:0000029', 'HP:0001347', 'HP:0000787', 'HP:0001252', 'HP:0001266', 'HP:0001419', 'HP:0002013', 'HP:0001270', 'HP:0001332'}
OMIM_ICD:18	frozenset({'E792'})	{'Myoadenylate deaminase deficiency'}	{'OMIM:615511'}	{'HP:0003201', 'HP:0001324', 'HP:0001290', 'HP:0000007', 'HP:0003750'}
OMIM_ICD:19	frozenset({'Q811'})	{'Epidermolysis bullosa letalis'}	{'OMIM:226700'}	{'HP:0001075', 'HP:0001508', 'HP:0003341', 'HP:0006297', 'HP:0007383', 'HP:0003577', 'HP:0002021', 'HP:0002164', 'HP:0000670', 'HP:0001522', 'HP:0008066', 'HP:0000007', 'HP:0008404', 'HP:0001056'}
OMIM_ICD:20	frozenset({'Q810'})	{'Epidermolysis bullosa simplex'}	{'OMIM:615425', 'OMIM:226670', 'OMIM:601001', 'OMIM:131760', 'OMIM:131950'}	{'HP:0004322', 'HP:0001903', 'HP:0001075', 'HP:0006297', 'HP:0200097', 'HP:0007585', 'HP:0003577', 'HP:0002164', 'HP:0000978', 'HP:0011859', 'HP:0001510', 'HP:0012227', 'HP:0001807', 'HP:0001056', 'HP:0000972', 'HP:0008401', 'HP:0003560', 'HP:0004552', 'HP:0009025', 'HP:0001805', 'HP:0000670', 'HP:0000006', 'HP:0008066', 'HP:0000007', 'HP:0003623', 'HP:0008404', 'HP:0002643', 'HP:0000491', 'HP:0003828'}
OMIM_ICD:21	frozenset({'Q812'})	{'Epidermolysis bullosa dystrophica'}	{'OMIM:226600'}	{'HP:0004395', 'HP:0001903', 'HP:0001075', 'HP:0006297', 'HP:0001596', 'HP:0002019', 'HP:0001371', 'HP:0001030', 'HP:0002164', 'HP:0000559', 'HP:0003577', 'HP:0004057', 'HP:0000509', 'HP:0002015', 'HP:0001510', 'HP:0002860', 'HP:0001056', 'HP:0002043', 'HP:0000160', 'HP:0005203', 'HP:0008066', 'HP:0000007', 'HP:0008404', 'HP:0000518'}
OMIM_ICD:22	frozenset({'D800'})	{'Hereditary hypogammaglobulinemia'}	{'OMIM:601495', 'OMIM:613502', 'OMIM:616941', 'OMIM:613506', 'OMIM:300755', 'OMIM:300310', 'OMIM:615214', 'OMIM:613501', 'OMIM:613500', 'OMIM:612692'}	{'HP:0001417', 'HP:0000750', 'HP:0000509', 'HP:0001287', 'HP:0003095', 'HP:0011108', 'HP:0000316', 'HP:0002024', 'HP:0003003', 'HP:0005215', 'HP:0001508', 'HP:0002732', 'HP:0003729', 'HP:0000006', 'HP:0001419', 'HP:0010976', 'HP:0000218', 'HP:0100280', 'HP:0001875', 'HP:0000246', 'HP:0000010', 'HP:0002383', 'HP:0000365', 'HP:0001648', 'HP:0000024', 'HP:0000388', 'HP:0002837', 'HP:0001412', 'HP:0002743', 'HP:0011109', 'HP:0002664', 'HP:0002718', 'HP:0000369', 'HP:0004432', 'HP:0000403', 'HP:0002090', 'HP:0006532', 'HP:0000286', 'HP:0000031', 'HP:0002205', 'HP:0002014', 'HP:0003593', 'HP:0000999', 'HP:0001954', 'HP:0001369', 'HP:0000007', 'HP:0002110'}
OMIM_ICD:23	frozenset({'Q800'})	{'Ichthyosis vulgaris'}	{'OMIM:146700'}	{'HP:0000006', 'HP:0008064', 'HP:0002099', 'HP:0000976'}
OMIM_ICD:24	frozenset({'Q801'})	{'X-linked ichthyosis'}	{'OMIM:308100'}	{'HP:0001419', 'HP:0002664', 'HP:0007759', 'HP:0008064', 'HP:0007431', 'HP:0000028', 'HP:0001939'}
OMIM_ICD:25	frozenset({'Q802'})	{'Lamellar ichthyosis'}	{'OMIM:606545', 'OMIM:242300', 'OMIM:615024', 'OMIM:604777', 'OMIM:615022', 'OMIM:613943', 'OMIM:242100', 'OMIM:612281', 'OMIM:615023', 'OMIM:601277'}	{'HP:0001006', 'HP:0009381', 'HP:0001596', 'HP:0001820', 'HP:0001371', 'HP:0003241', 'HP:0001927', 'HP:0000972', 'HP:0008064', 'HP:0001217', 'HP:0000707', 'HP:0003470', 'HP:0008404', 'HP:0007549', 'HP:0001438', 'HP:0007431', 'HP:0001595', 'HP:0002164', 'HP:0000966', 'HP:0001019', 'HP:0025092', 'HP:0007479', 'HP:0001249', 'HP:0001510', 'HP:0001816', 'HP:0001831', 'HP:0000232', 'HP:0000656', 'HP:0040162', 'HP:0025114', 'HP:0010783', 'HP:0000982', 'HP:0000007', 'HP:0001036', 'HP:0000962', 'HP:0001792', 'HP:0012472'}
OMIM_ICD:26	frozenset({'Q803'})	{'Congenital bullous ichthyosiform erythroderma'}	{'OMIM:113800'}	{'HP:0000972', 'HP:0040189', 'HP:0000006', 'HP:0001019', 'HP:0008066', 'HP:0000007', 'HP:0007475', 'HP:0025092'}
OMIM_ICD:27	frozenset({'Q804'})	{'Harlequin fetus'}	{'OMIM:242500'}	{'HP:0000520', 'HP:0000232', 'HP:0000656', 'HP:0007431', 'HP:0009381', 'HP:0002063', 'HP:0000007', 'HP:0001622'}
OMIM_ICD:28	frozenset({'Q821'})	{'Xeroderma pigmentosum'}	{'OMIM:278780', 'OMIM:278740', 'OMIM:194400', 'OMIM:278720', 'OMIM:278700', 'OMIM:610651', 'OMIM:278750', 'OMIM:278760', 'OMIM:278730'}	{'HP:0001010', 'HP:0001480', 'HP:0012056', 'HP:0001257', 'HP:0004325', 'HP:0003079', 'HP:0002650', 'HP:0003224', 'HP:0012444', 'HP:0004334', 'HP:0002011', 'HP:0000006', 'HP:0001337', 'HP:0000365', 'HP:0004322', 'HP:0008069', 'HP:0001029', 'HP:0031287', 'HP:0000953', 'HP:0002860', 'HP:0000568', 'HP:0001009', 'HP:0000613', 'HP:0000656', 'HP:0011400', 'HP:0001251', 'HP:0001347', 'HP:0005328', 'HP:0000483', 'HP:0002135', 'HP:0002861', 'HP:0000407', 'HP:0000491', 'HP:0001761', 'HP:0000992', 'HP:0000490', 'HP:0002119', 'HP:0001371', 'HP:0001265', 'HP:0000509', 'HP:0001272', 'HP:0200034', 'HP:0002671', 'HP:0001097', 'HP:0000621', 'HP:0000135', 'HP:0000762', 'HP:0011496', 'HP:0000252', 'HP:0000518', 'HP:0001268', 'HP:0003828', 'HP:0007587', 'HP:0000648', 'HP:0001249', 'HP:0001510', 'HP:0000726', 'HP:0011463', 'HP:0001266', 'HP:0010783', 'HP:0000007', 'HP:0006739', 'HP:0000639', 'HP:0000580'}
OMIM_ICD:29	frozenset({'Q934'})	{'Deletion of short arm of chromosome 5'}	{'OMIM:123450'}	{'HP:0000273', 'HP:0000028', 'HP:0000750', 'HP:0002216', 'HP:0010865', 'HP:0001042', 'HP:0100024', 'HP:0000322', 'HP:0001319', 'HP:0002650', 'HP:0000316', 'HP:0000402', 'HP:0001518', 'HP:0000545', 'HP:0000193', 'HP:0010743', 'HP:0100025', 'HP:0010049', 'HP:0000365', 'HP:0000047', 'HP:0002795', 'HP:0000733', 'HP:0000336', 'HP:0000202', 'HP:0000077', 'HP:0000736', 'HP:0000486', 'HP:0030680', 'HP:0000324', 'HP:0000470', 'HP:0000431', 'HP:0005437', 'HP:0000311', 'HP:0010780', 'HP:0000308', 'HP:0001540', 'HP:0000276', 'HP:0001763', 'HP:0002020', 'HP:0000377', 'HP:0000717', 'HP:0001159', 'HP:0000023', 'HP:0000752', 'HP:0000218', 'HP:0000252', 'HP:0000494', 'HP:0001840', 'HP:0001276', 'HP:0000518', 'HP:0008872', 'HP:0000739', 'HP:0000179', 'HP:0010529', 'HP:0000648', 'HP:0000275', 'HP:0002714', 'HP:0001249', 'HP:0000718', 'HP:0001510', 'HP:0000369', 'HP:0000384', 'HP:0200046', 'HP:0000286', 'HP:0002355', 'HP:0000954', 'HP:0003745', 'HP:0009102', 'HP:0000742'}
OMIM_ICD:30	frozenset({'E840', 'E849', 'E848', 'E8411', 'E8419'})	{'Meconium ileus in cystic fibrosis', 'Cystic fibrosis, unspecified', 'Cystic fibrosis with other intestinal manifestations', 'Cystic fibrosis with pulmonary manifestations', 'Cystic fibrosis with other manifestations'}	{'OMIM:219700'}	{'HP:0001648', 'HP:0001738', 'HP:0006538', 'HP:0002150', 'HP:0001944', 'HP:0004401', 'HP:0003251', 'HP:0002035', 'HP:0006528', 'HP:0002613', 'HP:0001508', 'HP:0006532', 'HP:0002099', 'HP:0000007', 'HP:0012236', 'HP:0002110'}
OMIM_ICD:31	frozenset({'E850'})	{'Non-neuropathic heredofamilial amyloidosis'}	{'OMIM:105200'}	{'HP:0003216', 'HP:0001744', 'HP:0000100', 'HP:0002240', 'HP:0001396', 'HP:0000006', 'HP:0000988', 'HP:0000790', 'HP:0000112', 'HP:0000822', 'HP:0000093', 'HP:0000969'}
OMIM_ICD:32	frozenset({'E851'})	{'Neuropathic heredofamilial amyloidosis'}	{'OMIM:105210'}	{'HP:0001260', 'HP:0001324', 'HP:0010550', 'HP:0000802', 'HP:0001337', 'HP:0011034', 'HP:0002019', 'HP:0004926', 'HP:0002315', 'HP:0001271', 'HP:0001265', 'HP:0001257', 'HP:0001638', 'HP:0003477', 'HP:0001640', 'HP:0001269', 'HP:0003581', 'HP:0012185', 'HP:0000505', 'HP:0000726', 'HP:0003676', 'HP:0001251', 'HP:0002401', 'HP:0007841', 'HP:0000020', 'HP:0002014', 'HP:0000006', 'HP:0001250', 'HP:0000639', 'HP:0002922', 'HP:0000365'}
OMIM_ICD:33	frozenset({'E710'})	{'Maple-syrup-urine disease'}	{'OMIM:248600'}	{'HP:0008872', 'HP:0031796', 'HP:0008344', 'HP:0001254', 'HP:0001249', 'HP:0001733', 'HP:0002181', 'HP:0003128', 'HP:0001290', 'HP:0001251', 'HP:0001946', 'HP:0001252', 'HP:0001259', 'HP:0001507', 'HP:0001250', 'HP:0002013', 'HP:0000007', 'HP:0000738', 'HP:0001276', 'HP:0001943', 'HP:0410066'}
OMIM_ICD:34	frozenset({'E71110'})	{'Isovaleric acidemia'}	{'OMIM:243500'}	{'HP:0001882', 'HP:0001263', 'HP:0003108', 'HP:0011695', 'HP:0001876', 'HP:0001993', 'HP:0001259', 'HP:0001254', 'HP:0001944', 'HP:0001250', 'HP:0002013', 'HP:0001873', 'HP:0000007', 'HP:0005528', 'HP:0001942'}
OMIM_ICD:35	frozenset({'E71111'})	{'3-methylglutaconic aciduria'}	{'OMIM:617698', 'OMIM:614739', 'OMIM:616271', 'OMIM:617248', 'OMIM:250950'}	{'HP:0000750', 'HP:0001298', 'HP:0001257', 'HP:0003256', 'HP:0001319', 'HP:0002169', 'HP:0001290', 'HP:0100543', 'HP:0012444', 'HP:0001522', 'HP:0002500', 'HP:0001875', 'HP:0010864', 'HP:0001337', 'HP:0007256', 'HP:0001260', 'HP:0003577', 'HP:0002079', 'HP:0002376', 'HP:0002878', 'HP:0003535', 'HP:0002540', 'HP:0001251', 'HP:0001347', 'HP:0002104', 'HP:0000736', 'HP:0001662', 'HP:0000407', 'HP:0001943', 'HP:0002059', 'HP:0001324', 'HP:0002521', 'HP:0001263', 'HP:0002119', 'HP:0001987', 'HP:0002151', 'HP:0001272', 'HP:0002373', 'HP:0003128', 'HP:0002510', 'HP:0011968', 'HP:0002352', 'HP:0001508', 'HP:0003676', 'HP:0025356', 'HP:0001999', 'HP:0001250', 'HP:0040187', 'HP:0000252', 'HP:0001276', 'HP:0031936', 'HP:0001332', 'HP:0003828', 'HP:0000518', 'HP:0002305', 'HP:0005484', 'HP:0000648', 'HP:0001249', 'HP:0000718', 'HP:0001510', 'HP:0001942', 'HP:0002033', 'HP:0002071', 'HP:0000020', 'HP:0001344', 'HP:0002719', 'HP:0002490', 'HP:0003593', 'HP:0001270', 'HP:0000007'}
OMIM_ICD:36	frozenset({'E71120'})	{'Methylmalonic acidemia'}	{'OMIM:309541', 'OMIM:613646'}	{'HP:0002521', 'HP:0004322', 'HP:0001290', 'HP:0001508', 'HP:0002072', 'HP:0002156', 'HP:0002912', 'HP:0000248', 'HP:0003593', 'HP:0001250', 'HP:0001419', 'HP:0001249', 'HP:0000252', 'HP:0012120', 'HP:0000007', 'HP:0002305'}
