HPO_ICD10_ID	HPO_IDs	HPO_Strings	HPO_Syns	ICD10
HPO_ICD:61	{'HP:0000154'}	{'Wide mouth'}	{'Large mouth', 'Broad mouth', 'Large oral aperture', 'Macrostomia', 'Wide mouth'}	{'Q184'}
HPO_ICD:62	{'HP:0010280', 'HP:0000155'}	{'Stomatitis', 'Oral ulcer'}	{'Gingivostomatitis', 'Mouth ulcer', 'Inflammation of the mouth', 'Mouth sore'}	{'K121'}
HPO_ICD:63	{'HP:0012473', 'HP:0000158'}	{'Macroglossia', 'Tongue atrophy'}	{'Lingual atrophy', 'Tongue hypertrophy', 'Large tongue', 'Atrophy of the tongue', 'Glossal hypertrophy', 'Lingual hypertrophy', 'Increased size of tongue', 'Lingual hyperplasia', 'Hyperplasia of the tongue', 'Abnormally large tongue', 'Lingual wasting', 'Hypertrophy of the tongue', 'Wasting of the tongue'}	{'K148', 'Q382'}
HPO_ICD:64	{'HP:0000160'}	{'Narrow mouth'}	{'Narrow mouth', 'Microstomia', 'Small mouth', 'Small oral aperture'}	{'Q185'}
HPO_ICD:65	{'HP:0000161'}	{'Median cleft lip'}	{'Midline cleft lip', 'Central cleft upper lip'}	{'Q361'}
HPO_ICD:66	{'HP:0000164', 'HP:0006482'}	{'Abnormality of the dentition', 'Abnormality of dental morphology'}	{'Deformity of teeth', 'Abnormal teeth', 'Dental abnormality', 'Dental problem', 'Dental problems', 'Abnormally shaped teeth', 'Malformed teeth', 'Misshapen teeth', 'Abnormality of the teeth', 'Dental anomalies', 'Tooth abnormalities', 'Abnormality of dental shape', 'Abnormal dentition', 'Malformation of teeth', 'Dental deformity', 'Dental malformations', 'Misshapened teeth', 'Dental abnormalities', 'Abnormality of shape of tooth'}	{'K009'}
HPO_ICD:67	{'HP:0000212', 'HP:0000169'}	{'Gingival overgrowth', 'Gingival fibromatosis'}	{'Gingival fibrous nodules', 'Gum hypertrophy', 'Gingival hyperplasia', 'Oral soft tissue hyperplasia', 'Idiopathic gingival hyperplasia', 'Gum enlargement', 'Hypertrophic gingivitis', 'Hereditary gingival fibromatosis', 'Gingival enlargement', 'Gingival fibroma'}	{'K061'}
HPO_ICD:68	{'HP:0012730', 'HP:0000171', 'HP:0000180', 'HP:0010297', 'HP:0000162'}	{'Bifid tongue', 'Aglossia', 'Microglossia', 'Lobulated tongue', 'Glossoptosis'}	{'Underdevelopment of the tongue', 'Hypoplasia of the tongue', 'Hypoglossia', 'Lingual lobules', 'Decreased size of tongue', 'Absence of tongue', 'Split tongue', 'Abnormally small tongue', 'Rudimentary tongue', 'Lingual hypoplasia', 'Missing tongue', 'Bumpy tongue', 'Lingual retraction', 'Failure of development of tongue', 'Forked tongue', 'Bifurcated tongue', 'Posterior displacement of the tongue', 'Retraction of the tongue', 'Snake tongue', 'Lobulate tongue', 'Cleft tongue', 'Hypoplastic tongue', 'Small tongue'}	{'K148', 'Q383'}
HPO_ICD:69	{'HP:0410005', 'HP:0000185', 'HP:0000176', 'HP:0410003', 'HP:0000175'}	{'Submucous cleft hard palate', 'Cleft maxillary alveolus', 'Cleft soft palate', 'Cleft palate', 'Cleft hard palate'}	{'Cleft primary palate', 'Cleft of hard and soft palate', 'Cleft of soft palate', 'Cleft secondary palate', 'Partial thickness cleft hard palate', 'Cleft bony palate', 'Cleft velum', 'Cleft anterior maxilla', 'Cleft palate', 'Cleft muscular palate', 'Alveolar cleft', 'Submucosal cleft palate', 'Cleft of palate', 'Submucous clefting', 'Uranostaphyloschisis', 'Cleft of hard palate', 'Cleft alveolar process of maxilla', 'Palatoschisis', 'Cleft hard and soft palate', 'Cleft roof of mouth'}	{'Q351', 'Q355', 'Q353', 'Q359'}
HPO_ICD:70	{'HP:0000193'}	{'Bifid uvula'}	{'Split uvula', 'Bifid palatine uvula', 'Cleft uvula', 'Uvula bifida', 'Forked uvula'}	{'Q357'}
HPO_ICD:71	{'HP:0000200', 'HP:0010296'}	{'Short lingual frenulum', 'Ankyloglossia'}	{'Tongue tied', 'Short tongue frenulum', 'Deficiency of lingual frenulum', 'Short lingual frenum', 'Hypoplasia of tongue frenulum', 'Tongue tie', 'Short tongue frenum', 'Hypoplasia of tongue frenum', 'Hypoplasia of lingual frenum', 'Tight lingual frenulum', 'Hypoplasia of lingual frenulum'}	{'Q381'}
HPO_ICD:72	{'HP:0009914', 'HP:0000201'}	{'Pierre-Robin sequence', 'Cyclopia'}	{'Pierre-robin deformity', 'Pierre-robin malformation', 'Pierre-robin anomaly', 'Single central eye', 'Cyclops eye', 'Robin sequence', 'Pierre Robin sequence'}	{'Q870'}
HPO_ICD:73	{'HP:0000202'}	{'Oral cleft'}	{'Cleft lip, cleft palate', 'Cleft lip/palate', 'Cleft of the mouth', 'Oral clefting'}	{'Q379'}
HPO_ICD:74	{'HP:0000204', 'HP:0100333'}	{'Unilateral cleft lip', 'Cleft upper lip'}	{'One sided cleft upper lip', 'Cheiloschisis of upper lip', 'Unilateral cleft upper lip', 'Unilateral cheiloschisis', 'Cleft of upper lip', 'Cleft upper lip', 'Harelip'}	{'Q369'}
HPO_ICD:75	{'HP:0000206'}	{'Glossitis'}	{'Smooth swollen tongue', 'Lingual inflammation', 'Inflammation of the tongue'}	{'K140'}
HPO_ICD:76	{'HP:0000217', 'HP:0003781', 'HP:0002307'}	{'Drooling', 'Xerostomia', 'Excessive salivation'}	{'Watery mouth', 'Excessive production of saliva', 'Drooling', 'Oversalivation', 'Dribbling', 'Reduced salivation', 'Ptyalism', 'Dry mouth syndrome', 'Decreased salivary flow', 'Hypersalivation', 'Dry mouth', 'Mouth watering', 'Sialorrhea', 'Excessive salivation'}	{'K117'}
HPO_ICD:77	{'HP:0010292', 'HP:0000218'}	{'High palate', 'Absent uvula'}	{'Elevated palate', 'High palate', 'Missing uvula', 'Absent palatine uvula', 'Congenital absence of uvula', 'Agenesis of uvula', 'Uvula aplasia', 'High-arched palate', 'High, arched palate', 'Increased palatal height'}	{'Q385'}
HPO_ICD:78	{'HP:0040184', 'HP:0000220'}	{'Velopharyngeal insufficiency', 'Oral bleeding'}	{'Velopharyngeal dysfunction', 'Velopharyngeal incompetence', 'Oral bleeding', 'Oral hemorrhage'}	{'K1379'}
HPO_ICD:79	{'HP:0002711', 'HP:0000221'}	{'Furrowed tongue', 'Exaggerated median tongue furrow'}	{'Prominent tongue grooves', 'Deep central tongue groove', 'Deep central lingual furrow', 'Deep median lingual furrow', 'Grooved tongue', 'Lingual furrow', 'Deep central tongue furrow', 'Deep median tongue furrow', 'Fissured tongue', 'Plicated tongue', 'Lingue plicata', 'Scrotal tongue', 'Deep central lingual groove', 'Deep median tongue groove', 'Deep median lingual groove', 'Exaggerated median lingual furrow'}	{'K145'}
HPO_ICD:80	{'HP:0000224'}	{'Decreased taste sensation'}	{'Decreased taste', 'Lost taste', 'Decreased taste sensation'}	{'R438'}
HPO_ICD:81	{'HP:0000230'}	{'Gingivitis'}	{'Gingival inflammation', 'Red and swollen gums', 'Inflamed gums'}	{'K0510'}
HPO_ICD:82	{'HP:0030664', 'HP:0011444', 'HP:0002396', 'HP:0011832', 'HP:0005486', 'HP:0002682', 'HP:0040263', 'HP:0002304', 'HP:0002063', 'HP:0000239', 'HP:0003698', 'HP:0003375', 'HP:0001252', 'HP:0011833', 'HP:0004428', 'HP:0003391', 'HP:0000455', 'HP:0000298', 'HP:0003552'}	"{'Large fontanelles', 'Gowers sign', 'Difficulty standing', 'Muscular hypotonia', 'Mask-like facies', 'Small fontanelle', 'Broad skull', 'Narrow nasal tip', 'Broad nasal tip', 'Elfin facies', 'Akinesia', 'Narrow greater sacrosciatic notches', 'Cogwheel rigidity', 'Overhanging nasal tip', ""Beevor's sign"", 'Decorticate rigidity', 'Rigidity', 'Muscle stiffness', 'Jaw ankylosis'}"	{'Broad tip of nose', 'Large fontanelle', 'Nasal tip, overhanging', 'Increased width of skull', 'Narrow tip of nose', 'Broad, upturned nose', 'Persistent wide fontanel', 'Increased breadth of nasal tip', 'Lack of facial expression', 'Little fontanelle', 'Large fontanels', 'Narrow sciatic notches', 'Narrow sacrosciatic notch', 'Wide cranium', 'Thin nasal tip', 'Narrowed sacrosciatic notch', 'Nasal tip, wide', 'Nasal tip, narrow', 'Small cranial sutures', 'Increased width of nasal tip', 'Elf-like facial appearance', 'Hooked tip of nose', 'Broad skull', 'Pinched tip of nose', 'Narrow nasal tip', 'Broad nasal tip', 'Broad upturned nose', 'Narrowed greater sciatic notch', 'Elf-like facial features', 'Wide bregma sutures', 'Muscle rigidity', 'Pinched nasal tip', 'Enlarged fontanelles', 'Positive Gowers sign', 'Thin tip of nose', 'Small bregma sutures', 'Gower sign', 'Low or weak muscle tone', 'Little cranial sutures', 'Mask-like facial appearance', 'Drooping nasal tip', 'Wide fontanelles', 'Increased width of tip of nose', 'Increased width of cranium', 'Overhanging nasal tip', 'Wide skull', 'Small sacrosciatic notches', 'Leprechaun facies', 'Masklike facies', 'Difficulty opening mouth', 'Standing instability', 'Large, late-closing fontanelle', 'Microfontanelle', 'Nasal tip, pinched', 'Amimia', 'Wide tip of nose', 'Small sacrosciatic notch', 'Small soft spot', 'Large bregma sutures', 'Muscle hypotonia', 'Rigidity', 'Expressionless face', 'Difficulty in standing', 'Increased breadth of tip of nose', 'Low hanging nasal tip', 'Nasal tip, broad', 'Broad cranium', 'Positive Gower sign', 'Large fontanel'}	{'R29898'}
HPO_ICD:83	{'HP:0000246', 'HP:0011109'}	{'Sinusitis', 'Chronic sinusitis'}	{'Sinus disease', 'Chronic sinus disease', 'Sinus inflammation', 'Sinusitis, chronic', 'Sinus infection'}	{'J329', 'J349'}
HPO_ICD:84	{'HP:0000252'}	{'Microcephaly'}	{'Decreased size of skull', 'Reduced head circumference', 'Small head', 'Abnormally small skull', 'Decreased size of head', 'Decreased size of cranium', 'Small head circumference', 'Small skull', 'Decreased circumference of cranium', 'Abnormally small head', 'Abnormally small cranium', 'small cranium', 'small calvarium'}	{'Q02'}
HPO_ICD:85	{'HP:0000255'}	{'Acute sinusitis'}	set()	{'J0190', 'J0191'}
HPO_ICD:86	{'HP:0000265'}	{'Mastoiditis'}	set()	{'H7091', 'H7092', 'H7090', 'H7093'}
HPO_ICD:87	{'HP:0000268', 'HP:0030799'}	{'Scaphocephaly', 'Dolichocephaly'}	{'Large dolichocephalic skull', 'Turridolichocephaly', 'Narrow skull shape', 'Tall and narrow skull', 'Narrow cranium shape', 'Long, narrow head', 'Narrow head shape'}	{'Q672'}
HPO_ICD:88	{'HP:0100557', 'HP:0000448', 'HP:0003546', 'HP:0000273', 'HP:0012671'}	{'Hemiatrophy of lower limb', 'Prominent nose', 'Exercise intolerance', 'Facial grimacing', 'Abulia'}	{'Hypertrophy of nose', 'Nasal hyperplasia', 'Poor exercise tolerance', 'Prominent nose', 'Large nose', 'Facial grimacing', 'Inability to exercise', 'Increased size of nose', 'Disproportionately large nose', 'Nasal hypertrophy', 'Increased nasal size', 'Big nose', 'Asymmetric lower limb shortening', 'Pronounced nose', 'Decreased ability to exercise', 'Aboulia', 'Hyperplasia of nose'}	{'R6889'}
HPO_ICD:89	{'HP:0000303'}	{'Mandibular prognathia'}	{'Prognathism', 'Enlarged mandible', 'Mandibular excess', 'Increased size of mandible', 'Prominent mandible', 'Enlargement of mandible', 'Mandibular macrognathia', 'Macromandible', 'Prognathia', 'Increased projection of lower jaw', 'Large lower jaw', 'Hypertrophy of lower jaw', 'Mandibular hyperplasia', 'Big lower jaw', 'Prominent lower jaw', 'Mandible prognathism', 'Mandibular prognathism', 'Increased projection of mandible', 'Hyperplasia of lower jaw', 'Prominent jaw', 'Increased size of lower jaw', 'Hypertrophy of mandible', 'Lower jaw hyperplasia', 'Large mandible', 'Prominent chin', 'Lower jaw excess', 'Big mandible', 'Relative mandibular prognathism'}	{'M2619', 'M2603', 'M26213'}
HPO_ICD:90	{'HP:0000327'}	{'Hypoplasia of the maxilla'}	{'Hypotrophic upper jaw bones', 'Small upper jaw', 'Decreased projection of maxilla', 'Deficiency of upper jaw bones', 'Small maxilla', 'Maxillary retrusion', 'Decreased size of upper jaw', 'Hypoplasia of upper jaw bones', 'Maxillary micrognathia', 'Hypotrophic maxilla', 'Retrognathia of upper jaw', 'Maxillary retrognathia', 'Micromaxilla', 'Maxillary deficiency', 'Upper jaw deficiency', 'Hypoplastic maxillary bones', 'Retrusion of upper jaw bones', 'Upper jaw retrusion', 'Small upper jaw bones', 'Maxillary hypoplasia', 'Decreased projection of upper jaw', 'Decreased size of maxilla'}	{'M2602'}
HPO_ICD:91	{'HP:0400000', 'HP:0005446', 'HP:0000331', 'HP:0009939'}	{'Tall chin', 'Mandibular aplasia', 'Short chin', 'Obtuse angle of mandible'}	{'Tall chin', 'Long lower third of face', 'Absence of lower jaw bone', 'Vertical excess of chin', 'Agenesis of the mandible', 'Vertical deficiency of chin', 'Missing lower jaw', 'Absence of lower jaw bones', 'Increased height of chin', 'Vertical hypoplasia of chin', 'Failure of development of lower jaw', 'Agnathia', 'Aplasia of the lower jaw bone', 'Vertical hyperplasia of chin', 'Short lower third of face', 'Absent mandible', 'Absence of mandible', 'Steep mandibular plane angle', 'Increased height of menton region', 'Long chin', 'High mandibular plane angle', 'Small chin', 'Decreased height of chin', 'Failure of development of mandible', 'Short chin', 'Absence of lower jaw'}	{'M2689'}
HPO_ICD:92	{'HP:0000338', 'HP:0000817'}	{'Hypomimic face', 'Poor eye contact'}	{'Decreased facial expressions', 'Decreased facial muscle movement', 'Dull facial expression', 'Poor eye contact', 'Hypomimia'}	{'R41841'}
HPO_ICD:93	{'HP:0000356', 'HP:0000598'}	{'Abnormality of the ear', 'Abnormality of the outer ear'}	{'Ear anomalies', 'Abnormality of the auricle', 'Abnormality of the ear', 'Ear anomaly', 'Abnormal pinnae', 'Abnormality of the outer ear', 'Malformed pinnae', 'External ear malformations', 'Outer ear abnormality', 'Abnormality of the external ear'}	{'Q179'}
HPO_ICD:94	{'HP:0000358', 'HP:0000369'}	{'Low-set ears', 'Posteriorly rotated ears'}	{'Ear, posterior angulation, increased', 'Posteriorly angulated ears', 'Posteriorly-angulated ears', 'Melotia', 'Low set ears', 'Posteriorly rotated', 'Lowset ears', 'Posteriorly rotated auricles', 'Ears rotated toward back of head', 'Low-set ears', 'Posteriorly-rotated ears'}	{'Q174'}
HPO_ICD:95	{'HP:0008629', 'HP:0000360'}	{'Pulsatile tinnitus', 'Tinnitus'}	{'Ringing in the ears', 'Ringing in ears'}	{'H9313', 'H9311', 'H9319', 'H9312'}
HPO_ICD:96	{'HP:0000362'}	{'Otosclerosis'}	set()	{'H8092', 'H8090', 'H8091', 'H8093'}
HPO_ICD:97	{'HP:0000407', 'HP:0008527', 'HP:0008542', 'HP:0012714', 'HP:0000365'}	{'Hearing impairment', 'Severe hearing impairment', 'Congenital sensorineural hearing impairment', 'Low-frequency hearing loss', 'Sensorineural hearing impairment'}	{'Congenital neurosensory deafness', 'Severe hearing impairment', 'Sensorineural deafness', 'Severe deafness', 'Hearing loss', 'Bilateral congenital sensorineural deafness', 'Congenital deafness', 'Hearing defect', 'Congenital hearing loss', 'Sensorineural hearing loss', 'Congenital sensorineural hearing loss', 'Congenital sensorineural deafness', 'Hearing impairment', 'Hearing loss, congenital sensorineural', 'Severe hearing loss', 'Hearing loss, sensorineural', 'Low-frequency hearing loss', 'Deafness', 'Congenital perceptive deafness', 'Hypoacusis'}	{'H9193', 'H9192', 'H9190', 'H905', 'H9191'}
